Direction,TriggerLevel,TriggerTime,GoalLevel,ActionableTriggers,TotalHits,TotalCompletionRate
Above,-0.5,4000,0.236,3,0,0.0
Above,-0.5,4000,0.382,3,0,0.0
Above,-0.5,4000,0.5,3,0,0.0
Above,-0.5,4000,0.618,3,0,0.0
Above,-0.5,4000,0.786,3,0,0.0
Above,-0.5,4000,1.0,3,0,0.0
Above,-0.5,4000,-0.236,3,0,0.0
Above,-0.5,4000,-0.382,1,0,0.0
Above,-0.5,4000,-0.5,3,3,100.0
Above,-0.5,4000,-0.618,3,3,100.0
Above,-0.5,4000,-0.786,2,0,0.0
Above,-0.5,4000,-1.0,3,0,0.0
Above,-0.5,4000,0.0,3,0,0.0
Below,-0.5,4000,0.236,4,0,0.0
Below,-0.5,4000,0.382,4,0,0.0
Below,-0.5,4000,0.5,4,0,0.0
Below,-0.5,4000,0.618,4,0,0.0
Below,-0.5,4000,0.786,4,0,0.0
Below,-0.5,4000,1.0,4,0,0.0
Below,-0.5,4000,-0.236,4,0,0.0
Below,-0.5,4000,-0.382,3,2,66.67
Below,-0.5,4000,-0.5,4,4,100.0
Below,-0.5,4000,-0.618,4,3,75.0
Below,-0.5,4000,-0.786,4,0,0.0
Below,-0.5,4000,-1.0,4,0,0.0
Below,-0.5,4000,0.0,4,0,0.0
Above,-0.5,5000,0.236,9,0,0.0
Above,-0.5,5000,0.382,9,0,0.0
Above,-0.5,5000,0.5,9,0,0.0
Above,-0.5,5000,0.618,9,0,0.0
Above,-0.5,5000,0.786,9,0,0.0
Above,-0.5,5000,1.0,9,0,0.0
Above,-0.5,5000,-0.236,9,2,22.22
Above,-0.5,5000,-0.382,8,2,25.0
Above,-0.5,5000,-0.5,9,9,100.0
Above,-0.5,5000,-0.618,9,8,88.89
Above,-0.5,5000,-0.786,9,4,44.44
Above,-0.5,5000,-1.0,9,2,22.22
Above,-0.5,5000,0.0,9,0,0.0
Below,-0.5,5000,0.236,3,0,0.0
Below,-0.5,5000,0.382,3,0,0.0
Below,-0.5,5000,0.5,3,0,0.0
Below,-0.5,5000,0.618,3,0,0.0
Below,-0.5,5000,0.786,3,0,0.0
Below,-0.5,5000,1.0,3,0,0.0
Below,-0.5,5000,-0.236,3,0,0.0
Below,-0.5,5000,-0.382,2,2,100.0
Below,-0.5,5000,-0.5,3,3,100.0
Below,-0.5,5000,-0.618,2,1,50.0
Below,-0.5,5000,-0.786,3,0,0.0
Below,-0.5,5000,-1.0,3,0,0.0
Below,-0.5,5000,0.0,3,0,0.0
Above,-0.5,OPEN,0.236,2108,278,13.19
Above,-0.5,OPEN,0.382,2378,236,9.92
Above,-0.5,OPEN,0.5,2567,220,8.57
Above,-0.5,OPEN,0.618,2705,176,6.51
Above,-0.5,OPEN,0.786,2838,125,4.4
Above,-0.5,OPEN,1.0,2965,84,2.83
Above,-0.5,OPEN,-0.236,869,308,35.44
Above,-0.5,OPEN,-0.382,434,234,53.92
Above,-0.5,OPEN,-0.5,3047,588,19.3
Above,-0.5,OPEN,-0.618,3051,345,11.31
Above,-0.5,OPEN,-0.786,3071,127,4.14
