Direction,TriggerLevel,TriggerTime,GoalLevel,ActionableTriggers,TotalHits,TotalCompletionRate
Below,-0.786,1200,0.5,8,0,0.0
Below,-0.786,1200,0.618,8,0,0.0
Below,-0.786,1200,0.786,8,0,0.0
Below,-0.786,1200,1.0,8,0,0.0
Below,-0.786,1200,-0.236,8,8,100.0
Below,-0.786,1200,-0.382,8,8,100.0
Below,-0.786,1200,-0.5,8,8,100.0
Below,-0.786,1200,-0.618,8,8,100.0
Below,-0.786,1200,-0.786,8,8,100.0
Below,-0.786,1200,-1.0,8,1,12.5
Below,-0.786,1200,0.0,8,8,100.0
Below,-0.786,1300,0.236,15,1,6.67
Below,-0.786,1300,0.382,15,1,6.67
Below,-0.786,1300,0.5,15,1,6.67
Below,-0.786,1300,0.618,15,0,0.0
Below,-0.786,1300,0.786,15,0,0.0
Below,-0.786,1300,1.0,15,0,0.0
Below,-0.786,1300,-0.236,15,15,100.0
Below,-0.786,1300,-0.382,15,15,100.0
Below,-0.786,1300,-0.5,15,15,100.0
Below,-0.786,1300,-0.618,15,15,100.0
Below,-0.786,1300,-0.786,15,15,100.0
Below,-0.786,1300,-1.0,15,7,46.67
Below,-0.786,1300,0.0,15,6,40.0
Above,-0.786,1400,0.236,12,3,25.0
Above,-0.786,1400,0.382,12,0,0.0
Above,-0.786,1400,0.5,12,0,0.0
Above,-0.786,1400,0.618,12,0,0.0
Above,-0.786,1400,0.786,12,0,0.0
Above,-0.786,1400,1.0,12,0,0.0
Above,-0.786,1400,-0.236,12,12,100.0
Above,-0.786,1400,-0.382,12,12,100.0
Above,-0.786,1400,-0.5,12,12,100.0
Above,-0.786,1400,-0.618,12,12,100.0
Above,-0.786,1400,-0.786,12,7,58.33
Above,-0.786,1400,-1.0,12,2,16.67
Above,-0.786,1400,0.0,12,10,83.33
Below,-0.786,1400,0.236,19,5,26.32
Below,-0.786,1400,0.382,19,2,10.53
Below,-0.786,1400,0.5,19,2,10.53
Below,-0.786,1400,0.618,19,1,5.26
Below,-0.786,1400,0.786,19,0,0.0
Below,-0.786,1400,1.0,19,0,0.0
Below,-0.786,1400,-0.236,19,18,94.74
Below,-0.786,1400,-0.382,19,19,100.0
Below,-0.786,1400,-0.5,19,19,100.0
Below,-0.786,1400,-0.618,19,19,100.0
Below,-0.786,1400,-0.786,19,19,100.0
Below,-0.786,1400,-1.0,19,4,21.05
Below,-0.786,1400,0.0,19,11,57.89
Above,-0.786,1500,0.236,2,0,0.0
Above,-0.786,1500,0.382,2,0,0.0
Above,-0.786,1500,0.5,2,0,0.0
Above,-0.786,1500,0.618,2,0,0.0
Above,-0.786,1500,0.786,2,0,0.0
Above,-0.786,1500,1.0,2,0,0.0
Above,-0.786,1500,-0.236,2,1,50.0
Above,-0.786,1500,-0.382,2,2,100.0
Above,-0.786,1500,-0.5,2,2,100.0
Above,-0.786,1500,-0.618,2,2,100.0
Above,-0.786,1500,-0.786,2,1,50.0
Above,-0.786,1500,-1.0,2,0,0.0
Above,-0.786,1500,0.0,2,0,0.0
Below,-0.786,1500,0.236,3,0,0.0
Below,-0.786,1500,0.382,3,0,0.0
Below,-0.786,1500,0.5,3,0,0.0
Below,-0.786,1500,0.618,3,0,0.0
Below,-0.786,1500,0.786,3,0,0.0
Below,-0.786,1500,1.0,3,0,0.0
Below,-0.786,1500,-0.236,3,2,66.67
Below,-0.786,1500,-0.382,3,2,66.67
Below,-0.786,1500,-0.5,3,3,100.0
Below,-0.786,1500,-0.618,3,3,100.0
Below,-0.786,1500,-0.786,3,3,100.0
Below,-0.786,1500,-1.0,3,1,33.33
Below,-0.786,1500,0.0,3,1,33.33
Above,-0.786,2000,0.236,2,0,0.0
Above,-0.786,2000,0.382,2,0,0.0
Above,-0.786,2000,0.5,2,0,0.0
Above,-0.786,2000,0.618,2,0,0.0
Above,-0.786,2000,0.786,2,0,0.0
Above,-0.786,2000,1.0,2,0,0.0
Above,-0.786,2000,-0.236,2,2,100.0
Above,-0.786,2000,-0.382,1,1,100.0
Above,-0.786,2000,-0.5,1,1,100.0
Above,-0.786,2000,-0.618,1,1,100.0
Above,-0.786,2000,-0.786,2,0,0.0
Above,-0.786,2000,-1.0,0,0,0.0
Above,-0.786,2000,0.0,2,1,50.0
Below,-0.786,2000,0.236,4,0,0.0
Below,-0.786,2000,0.382,4,0,0.0
Below,-0.786,2000,0.5,4,0,0.0
Below,-0.786,2000,0.618,4,0,0.0
Below,-0.786,2000,0.786,4,0,0.0
Below,-0.786,2000,1.0,4,0,0.0
Below,-0.786,2000,-0.236,3,3,100.0
Below,-0.786,2000,-0.382,2,2,100.0
Below,-0.786,2000,-0.5,2,2,100.0
Below,-0.786,2000,-0.618,2,2,100.0
Below,-0.786,2000,-0.786,3,0,0.0
Below,-0.786,2000,-1.0,3,0,0.0
Below,-0.786,2000,0.0,4,4,100.0
Above,-0.786,3000,0.236,6,2,33.33
Above,-0.786,3000,0.382,6,1,16.67
Above,-0.786,3000,0.5,6,1,16.67
Above,-0.786,3000,0.618,6,0,0.0
Above,-0.786,3000,0.786,6,0,0.0
Above,-0.786,3000,1.0,6,0,0.0
Above,-0.786,3000,-0.236,6,6,100.0
Above,-0.786,3000,-0.382,4,4,100.0
Above,-0.786,3000,-0.5,2,2,100.0
Above,-0.786,3000,-0.618,0,0,0.0
Above,-0.786,3000,-0.786,6,0,0.0
Above,-0.786,3000,-1.0,4,0,0.0
Above,-0.786,3000,0.0,6,5,83.33
Below,-0.786,3000,0.236,3,0,0.0
Below,-0.786,3000,0.382,3,0,0.0
Below,-0.786,3000,0.5,3,0,0.0
Below,-0.786,3000,0.618,3,0,0.0
Below,-0.786,3000,0.786,3,0,0.0
Below,-0.786,3000,1.0,3,0,0.0
