GoalZone,GoalTime,TransitionCount,TriggerZone,TriggerTime,TotalTriggerOccurrences,TransitionPercentage,GoalTimeHourly,GoalTime10Min,Granularity
-0.618_to_-0.5,1450,22,-1.0_to_-0.786,930,152,14.47,1450,1450,10-Minute
-0.618_to_-0.5,1500,19,-1.0_to_-0.786,930,152,12.5,1500,1500,10-Minute
-0.618_to_-0.5,1510,22,-1.0_to_-0.786,930,152,14.47,1510,1510,10-Minute
-0.618_to_-0.5,1520,23,-1.0_to_-0.786,930,152,15.13,1520,1520,10-Minute
-0.618_to_-0.5,1530,26,-1.0_to_-0.786,930,152,17.11,1530,1530,10-Minute
-0.618_to_-0.5,1540,26,-1.0_to_-0.786,930,152,17.11,1540,1540,10-Minute
-0.618_to_-0.5,1550,29,-1.0_to_-0.786,930,152,19.08,1550,1550,10-Minute
-0.786_to_-0.618,940,75,-1.0_to_-0.786,930,152,49.34,0940,0940,10-Minute
-0.786_to_-0.618,950,56,-1.0_to_-0.786,930,152,36.84,0950,0950,10-Minute
-0.786_to_-0.618,1000,46,-1.0_to_-0.786,930,152,30.26,1000,1000,10-Minute
-0.786_to_-0.618,1010,43,-1.0_to_-0.786,930,152,28.29,1010,1010,10-Minute
-0.786_to_-0.618,1020,45,-1.0_to_-0.786,930,152,29.61,1020,1020,10-Minute
-0.786_to_-0.618,1030,41,-1.0_to_-0.786,930,152,26.97,1030,1030,10-Minute
-0.786_to_-0.618,1040,33,-1.0_to_-0.786,930,152,21.71,1040,1040,10-Minute
-0.786_to_-0.618,1050,27,-1.0_to_-0.786,930,152,17.76,1050,1050,10-Minute
-0.786_to_-0.618,1100,35,-1.0_to_-0.786,930,152,23.03,1100,1100,10-Minute
-0.786_to_-0.618,1110,33,-1.0_to_-0.786,930,152,21.71,1110,1110,10-Minute
-0.786_to_-0.618,1120,33,-1.0_to_-0.786,930,152,21.71,1120,1120,10-Minute
-0.786_to_-0.618,1130,37,-1.0_to_-0.786,930,152,24.34,1130,1130,10-Minute
-0.786_to_-0.618,1140,31,-1.0_to_-0.786,930,152,20.39,1140,1140,10-Minute
-0.786_to_-0.618,1150,31,-1.0_to_-0.786,930,152,20.39,1150,1150,10-Minute
-0.786_to_-0.618,1200,29,-1.0_to_-0.786,930,152,19.08,1200,1200,10-Minute
-0.786_to_-0.618,1210,30,-1.0_to_-0.786,930,152,19.74,1210,1210,10-Minute
-0.786_to_-0.618,1220,30,-1.0_to_-0.786,930,152,19.74,1220,1220,10-Minute
-0.786_to_-0.618,1230,32,-1.0_to_-0.786,930,152,21.05,1230,1230,10-Minute
-0.786_to_-0.618,1240,32,-1.0_to_-0.786,930,152,21.05,1240,1240,10-Minute
-0.786_to_-0.618,1250,31,-1.0_to_-0.786,930,152,20.39,1250,1250,10-Minute
-0.786_to_-0.618,1300,30,-1.0_to_-0.786,930,152,19.74,1300,1300,10-Minute
-0.786_to_-0.618,1310,27,-1.0_to_-0.786,930,152,17.76,1310,1310,10-Minute
-0.786_to_-0.618,1320,27,-1.0_to_-0.786,930,152,17.76,1320,1320,10-Minute
